AdCode,OriginalRows,PerfectRows,RetainedRows,AvgMissingInRetained,PerfectBlocks,FilteredBlocks
222426,507,114,100,0.0,12,10
220203,1071,501,100,0.0,51,10
220524,617,445,100,0.0,45,10
220781,819,185,100,0.0,19,10
220721,1240,231,100,0.0,24,10
230123,504,230,100,0.0,23,10
230124,612,110,100,0.0,11,10
220822,503,400,100,0.0,40,10
230109,598,316,100,0.0,32,10
230113,378,141,100,0.0,15,10
230104,1103,343,100,0.0,35,10
230102,1573,587,100,0.0,59,10
220382,738,432,100,0.0,44,10
230108,365,175,100,0.0,18,10
220722,897,475,100,0.0,48,10
220882,593,322,100,0.0,33,10
230129,370,206,100,0.0,21,10
230128,432,275,100,0.0,28,10
230110,1222,446,100,0.0,45,10
230184,500,187,100,0.0,19,10
230205,117,19,100,2.66,2,10
230127,339,134,100,0.0,14,10
230126,1094,584,100,0.0,59,10
230202,633,67,100,0.33,7,10
230224,342,2,100,1.81,1,10
230111,701,356,100,0.0,36,10
230204,603,21,100,0.79,3,10
230225,624,49,100,0.51,5,10
230207,145,61,100,0.54,7,10
230208,229,59,100,0.8,6,10
230230,123,6,100,1.87,1,10
230206,362,106,100,0.0,11,10
230223,248,92,100,0.08,10,10
230183,956,352,100,0.0,36,10
230112,390,285,100,0.0,29,10
230229,463,35,100,1.53,4,10
230227,558,87,100,0.13,9,10
230302,392,1,100,1.69,1,10
230307,23,4,23,1.61,1,3
230303,216,2,100,2.42,1,10
230304,111,9,100,2.52,1,10
230305,100,1,100,2.13,1,10
230321,260,7,100,1.92,1,10
230381,225,14,100,2.1,2,10
230306,161,4,100,2.44,1,10
230407,32,2,32,1.28,1,4
230406,64,9,64,1.3,1,7
230403,148,41,100,0.69,5,10
230402,84,62,84,0.27,7,9
230505,63,12,63,0.87,2,7
230404,144,39,100,1.13,4,10
230421,97,58,97,0.35,6,10
230422,136,71,100,0.29,8,10
230405,341,34,100,0.7,4,10
230281,586,234,100,0.0,24,10
230503,54,15,54,0.87,2,6
230203,676,298,100,0.0,30,10
230522,99,0,99,2.77,0,10
230382,417,166,100,0.0,17,10
230506,107,3,100,2.48,1,10
230523,154,3,100,2.78,1,10
230231,484,257,100,0.0,26,10
230524,94,23,94,2.14,3,10
230521,256,29,100,1.04,3,10
230125,1450,467,100,0.0,47,10
230502,265,68,100,0.32,7,10
230724,35,7,35,1.23,1,4
230719,59,20,59,1.0,2,6
230723,40,5,40,1.52,1,4
230604,797,44,100,0.56,5,10
230722,130,11,100,1.3,2,10
230623,237,62,100,0.38,7,10
230603,465,121,100,0.0,13,10
230804,216,5,100,2.09,1,10
230726,120,24,100,1.77,3,10
230805,166,16,100,1.67,2,10
230602,790,188,100,0.0,19,10
230622,348,207,100,0.0,21,10
230781,274,77,100,0.23,8,10
230803,434,102,100,0.0,11,10
230605,582,246,100,0.0,25,10
230624,367,154,100,0.0,16,10
230822,447,9,100,2.19,1,10
230826,150,62,100,0.38,7,10
230883,150,6,100,2.05,1,10
230621,349,214,100,0.0,22,10
230881,321,71,100,0.29,8,10
230103,2325,879,100,0.0,88,10
230221,3608,631,100,0.0,64,10
230902,295,6,100,1.41,1,10
231002,399,1,100,1.63,1,10
230921,229,4,100,1.56,1,10
231003,199,3,100,2.38,1,10
230828,181,78,100,0.22,8,10
231004,288,0,100,2.44,0,10
231025,359,35,100,0.65,4,10
231081,191,1,100,2.57,1,10
230904,122,63,100,0.37,7,10
230882,369,153,100,0.0,16,10
230606,1803,291,100,0.0,30,10
230903,333,132,100,0.0,14,10
231084,315,62,100,0.38,7,10
231124,156,47,100,0.53,5,10
231085,407,50,100,0.5,5,10
231086,250,77,100,0.23,8,10
231182,139,0,100,3.76,0,10
231123,134,70,100,0.3,7,10
231083,291,99,100,0.01,10,10
231183,492,31,100,0.92,4,10
231181,384,19,100,0.89,2,10
231224,334,6,100,1.6,1,10
