法律依据,出现次数
《中华人民共和国刑法》第239条第231款,684
《最高人民法院、最高人民检察院关于办理危害食品安全刑事案件适用法律若干问题的解释》第18条,682
《中华人民共和国刑法(1997年)》第245条第241款,659
《最高人民法院、最高人民检察院关于办理与盗窃、抢劫、诈骗、抢夺机动车相关刑事案件具体应用法律若干问题的解释》第1条第1款,657
《中华人民共和国刑法》第4条,651
《中华人民共和国刑法(1997年)》第239条第231款,647
《中华人民共和国刑事诉讼法(2012年)》第229条,641
《中华人民共和国刑法》第135条,635
《中华人民共和国刑法》第36条第31款,631
《中华人民共和国刑法(1997年)》第140条,623
《中华人民共和国刑法(1997年)》第12条第11款,622
《最高人民法院、最高人民检察院关于办理寻衅滋事刑事案件适用法律若干问题的解释》第4条,593
《最高人民法院、最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第4条第1款,588
《最高人民法院关于办理减刑、假释案件具体应用法律若干问题的规定》第2条第1款,588
《中华人民共和国刑法》第22条第21款,567
《中华人民共和国刑法》第328条第321款,564
《中华人民共和国刑法》第364条第361款,560
《中华人民共和国刑事诉讼法》第241条第241款,558
《中华人民共和国刑法》第226条,555
《中华人民共和国刑法》第50条,552
《中华人民共和国刑法(1997年)》第86条第81款,550
《中华人民共和国刑法(1997年)》第86条第83款,549
《中华人民共和国刑法》第205条第201款,549
《中华人民共和国刑法》第54条,540
《中华人民共和国刑法(1997年)》第217条,534
《中华人民共和国刑法(1997年)》第279条第271款,533
《最高人民法院、最高人民检察院关于办理寻衅滋事刑事案件适用法律若干问题的解释》第8条,532
《中华人民共和国刑法》第276条,529
《中华人民共和国刑法》第124条第121款,524
《中华人民共和国道路交通安全法(2011年)》第22条第21款,521
《中华人民共和国刑法》第5条,514
《最高人民法院关于审理非法集资刑事案件具体应用法律若干问题的解释》第2条,507
《中华人民共和国刑法》第70条第71款,507
《最高人民法院、最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第6条,507
《最高人民法院、最高人民检察院关于办理与盗窃、抢劫、诈骗、抢夺机动车相关刑事案件具体应用法律若干问题的解释》第6条,503
《最高人民法院关于审理交通肇事刑事案件具体应用法律若干问题的解释》第8条第1款,502
《中华人民共和国刑法(1997年)》第14条第11款,502
《中华人民共和国刑事诉讼法(2012年)》第278条,492
《中华人民共和国刑法(1997年)》第175条第171款,488
《最高人民法院、最高人民检察院关于办理赌博刑事案件具体应用法律若干问题的解释》第8条第1款,483
《中华人民共和国刑法(1997年)》第17条,476
《中华人民共和国刑法(1997年)》第209条第201款,474
《中华人民共和国刑法》第74条,470
《中华人民共和国刑法》第93条第92款,468
《最高人民法院、最高人民检察院关于办理非法生产、销售烟草专卖品等刑事案件具体应用法律若干问题的解释》第4条,467
《中华人民共和国刑法(1997年)》第177条第171款,465
《最高人民法院关于审理挪用公款案件具体应用法律若干问题的解释》第2条,461
《中华人民共和国刑法》第288条第281款,461
《中华人民共和国刑法(1997年)》第153条第151款,460
《最高人民法院关于办理减刑、假释案件具体应用法律若干问题的规定》第1条,457
《中华人民共和国刑法(1997年)》第235条,454
《最高人民法院、最高人民检察院关于办理寻衅滋事刑事案件适用法律若干问题的解释》第1条第1款,452
《最高人民法院关于处理自首和立功具体应用法律若干问题的解释》第2条,450
《中华人民共和国刑法》第314条,450
《中华人民共和国刑法》第240条第241款,446
《最高人民法院关于办理减刑、假释案件具体应用法律若干问题的规定》第5条,446
